id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4191778,Cozy apt in historic bungalow,17347654,Erin,,Baker,39.7191,-104.99429,Entire home/apt,87,2,164,2024-06-08,1.38,1,320,12,2021-BFN-0009686
4224189,Cozy Studio In the ❤️ of Denver,11902043,Lauren,,Baker,39.72449,-104.99843,Private room,200,29,34,2018-04-09,0.41,2,44,0,
4236002,Modern Historic Denver Carriage House with Hot tub,21982508,Jb,,North Park Hill,39.7524,-104.92175,Entire home/apt,127,2,603,2024-06-28,5.11,1,140,67,2017-BFN-0008411
4241536,Cozy-Cool Highlands Cottage,22009424,Carlos,,West Highland,39.76387,-105.03138,Entire home/apt,101,30,33,2024-03-31,0.28,1,322,3,
4267851,"Spacious, bright, near parks, cafe, mkt, zoo, msm",22155542,Ben,,South Park Hill,39.74967,-104.93296,Entire home/apt,,7,22,2023-07-15,0.19,1,3,1,2016-BFN-0007280
4294257,Full of Character AND Comfortable !,22292048,Travis,,Congress Park,39.73884825718342,-104.949571507518,Entire home/apt,116,1,594,2024-06-21,5.04,1,99,65,2016-BFN-0008410
4350594,Kid Friendly Home-Great Location with Sauna,245393,Melissa,,Hale,39.72904,-104.92346,Entire home/apt,175,29,10,2021-08-01,0.09,1,287,0,2020-BFN-0004676
4384783,Sunny Condo! Close To Downtown!,9597571,Jon & Irene,,Hale,39.73116,-104.93282,Entire home/apt,85,29,36,2024-05-05,0.33,1,141,3,
4416289,CHERRY CREEK NORTH! Long-Term Only (30+Days),22922907,David,,Cherry Creek,39.72322,-104.95696,Entire home/apt,132,30,12,2022-09-10,0.10,1,294,0,
4545539,Updated Downtown Apartment in Baker with Off-Street Parking,23466084,Tyler,,Baker,39.71749,-104.99085,Entire home/apt,122,1,502,2024-06-25,4.30,1,151,57,2017-BFN-0001958
4556950,☀░ Downtown High Rise SPIRE - Furnished 1br ☀,23623049,Scott,,CBD,39.74563,-104.99452,Entire home/apt,75,60,5,2023-09-30,0.07,1,226,1,
4556956,Exceptional Loft Living,7447790,Rick/Ali,,Union Station,39.75695,-105.00419,Entire home/apt,130,30,1,2021-07-02,0.03,1,236,0,
